IDENTIFIKATOR_KLIJENTA,DOB,GRAD_STALNE_ADRESE,POSTANSKI_BROJ_STALNE_ADRESE,ZUPANIJA_STALNE_ADRESE,DRZAVA_STALNE_ADRESE,STATISTICKA_OZNAKA,ORGANIZACIJSKA_JEDINICA_KLIJENTA,DATUM_PRVOG_POCETKA_POSLOVNOG_ODNOSA,DATUM_ZADNJEG_POCETKA_POSLOVNOG_ODNOSA,SPOL,STATUS_ZAPOSLENJA,VRSTA_ZAPOSLENJA,POZICIJA,STRUCNA_SPREMA,SIFRA_VRSTE_KLIJENTA,DRZAVA_NACIONALNOSTI,GRAD_DOPISNE_ADRESE,POSTANSKI_BROJ_DOPISNE_ADRESE,ZUPANIJA_DOPISNE_ADRESE,DRZAVA_DOPISNE_ADRESE,KREDITNI_RATING,OZNAKA_AKVIZICIJE_KLIJENTA,IMA_LI_KLIJENT_KYC_BLOKADU,KLIJENT_REZIDENT,GODINE_STAZA_KOD_TRENUTNOG_POSLODAVCA,GODINE_STAZA,ZANIMANJE,KATEGORIJA_POSLODAVCA,TIP_POSLODAVCA,VRSTA_STANOVANJA,PERIOD_PROVEDEN_NA_TRENUTNOJ_ADRESI,TIP_VLASNISTVA,BROJ_CLANOVA_KUCANSTVA,BROJ_UZDRZAVANIH_CLANOVA_KUCANSTVA,KLIJENT_PREMINUO,BRACNI_STATUS,KLIJENT_PRIMA_OSNOVNO_PRIMANJE_U_BANCI
HCLDZKQ8E2Y6,50,MARUŠEVEC,42240,VARAŽDINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,215,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,MARUŠEVEC,42240,VARAŽDINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
PHWUIJN8KL0J,65,DRNIŠ,22320,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,249,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,DRNIŠ,22320,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
0AAYXTNCUEQ2,73,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
P0HAPL5CRA0G,71,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,214,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
WWIGLL5INVBX,70,BOL,21420,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,BOL,21420,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
EDL8HP8EIE48,77,VARAŽDIN,42000,VARAŽDINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,215,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,VARAŽDIN,42000,VARAŽDINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
4TKCW1ZW6SFJ,45,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
ESVH9203E2I6,50,GUNDINCI,35220,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,GUNDINCI,35220,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
AER9O5O0P3SI,55,SESVETE,10360,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,215,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,SESVETE,10360,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
M4FTNQGT6GPR,56,PODTUREN,40310,MEĐIMURSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,251,16/2/2001/,16/2/2001/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,PODTUREN,40310,MEĐIMURSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
R9IWGNEF7CLL,88,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
7OXWV711XABX,55,SIBINJ,35250,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,202,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,SIBINJ,35250,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
THWLJ7Y2N965,55,ZAGREB-SUSEDGRAD,10090,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB-SUSEDGRAD,10090,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
S3FXFE3TTCQJ,48,MAKARSKA,21300,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,MAKARSKA,21300,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
YIU4R0PKQFHZ,58,SRAČINEC,42200,VARAŽDINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,215,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,SRAČINEC,42200,VARAŽDINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
VDHVLRQZRDUB,48,BELOVAR,10360,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,BELOVAR,10360,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
M5VQN1HRZRPA,89,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
8NNDON5NGXS1,47,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
6UTLQKVKNQVE,52,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
26CP6793049A,42,HVAR,21450,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,HVAR,21450,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
FWN8BNCSZOCE,70,LEĆEVICA,21200,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,LEĆEVICA,21200,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
MCCNHLOAUZ3V,78,VELIKO TRGOVIŠĆE,49210,KRAPINSKO-ZAGORSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,219,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,VELIKO TRGOVIŠĆE,49210,KRAPINSKO-ZAGORSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
VERH22BMQHT1,79,KOMIŽA,21480,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,KOMIŽA,21480,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
77CNF7SOJODO,77,VARAŽDIN,42000,VARAŽDINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,215,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,VARAŽDIN,42000,VARAŽDINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
SYEU4D6BBFPD,77,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
POEP66FTJPAW,59,KARLOVAC,47000,KARLOVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,209,5/3/1997/,5/3/1997/,M,EMPLOYED,ZAPOSLEN,OSTALO,SSS,60015,HR,KARLOVAC,47000,KARLOVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,OSTALI ZAPOSLENICI,,PRIVATNO PODUZEĆE - VELIKO,,,,,,N,,DA
THZDOHKOD5B6,50,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,273,20/11/1996/,20/11/1996/,F,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,,60015,HR,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,PRIVATNO PODUZEĆE - MALO,,,,,,N,,DA
FIX1WJEWVRDL,63,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,253,13/1/2017/,13/1/2017/,M,,ZAPOSLEN,ZAPOSLENIK,SSS,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,>7,>10,OSTALI ZAPOSLENICI,,PRIVATNO PODUZEĆE - VELIKO,VLASTITI STAN/KUĆA,>5,KUĆA,3.0,,N,Y,NE
D8H3DNLLGD8S,57,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,245,15/1/2019/,15/1/2019/,F,,ZAPOSLEN,NIŽA RAZINA RUKOVOĐENJA,VSS,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,4.0,HPB,N,Y,3-7,>10,OSTALI ZAPOSLENICI,"Državna uprava/ ministarstva/HNB/Hanfa/ Lokalna uprava (županija, grad, općina)",JAVNO PODUZEĆE,VLASTITI STAN/KUĆA,>5,STAN,1.0,,N,N,DA
UQZOK1J46BR2,73,PEŠĆENIK,48000,KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,247,26/5/2022/,26/5/2022/,F,,UMIROVLJENIK,OSTALO,,60015,HR,PEŠĆENIK,48000,KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA,HRVATSKA,4.0,HPB,N,Y,,,,,OSTALO,,,,,,N,,NE
PUQFGNH6PGG1,33,MIČEVEC,10410,ZAGREBAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,217,23/1/2025/,23/1/2025/,M,,ZAPOSLEN,ZAPOSLENIK,MAG/DR,60015,HR,MIČEVEC,10410,ZAGREBAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,>7,>10,OSTALI ZAPOSLENICI,d.d. privatno,PRIVATNO PODUZEĆE - VELIKO,VLASTITI STAN/KUĆA,<3,STAN,1.0,,N,N,DA
46ATJKY98XPH,27,VUKOVAR,32000,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,226,29/1/2025/,29/1/2025/,M,,ZAPOSLEN,ZAPOSLENIK,SSS,60015,HR,VUKOVAR,32000,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,2.0,HPB,N,Y,1-3,5-10,RADNICI U OBRTIMA ILI MALIM TVRTKAMA (DO 5 ZAPOSLENIKA),Obrt,OBRT,VLASTITI STAN/KUĆA,<3,KUĆA,1.0,,N,N,DA
LY1124N328IT,29,ŠIBENIK,22000,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,249,16/7/2018/,23/5/2025/,F,,ZAPOSLEN,ZAPOSLENIK,,60015,HR,ŠIBENIK,22000,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,JAVNO PODUZEĆE,,,,,,N,,NE
B3S6UPTYWAI4,41,KRIŽEVCI,48260,KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,777,18/1/2018/,18/1/2018/,M,,ZAPOSLEN,ZAPOSLENIK,,60015,HR,KRIŽEVCI,48260,KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
MIEE8HJBSSGI,52,TRPANJ,20240,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,203,6/9/2012/,6/9/2012/,F,,ZAPOSLEN,ZAPOSLENIK,,60015,HR,TRPANJ,20240,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
R5ASPZVG93ZD,30,TOPOLJE,31300,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,237,31/1/2018/,31/1/2018/,M,,NEZAPOSLEN,OSTALO,SSS,60015,HR,TOPOLJE,31300,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,KOD RODITELJA,>5,,4.0,,N,N,NE
9S8578L7GGGB,51,JASTREBARSKO,10450,ZAGREBAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,252,11/9/2012/,11/9/2012/,F,,ZAPOSLEN,ZAPOSLENIK,,60015,HR,JASTREBARSKO,10450,ZAGREBAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
L7FV0ZC383YJ,63,NAŠICE,31500,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,239,1/3/2018/,1/3/2018/,M,,OSTALO,OSTALO,,60015,HR,NAŠICE,31500,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
OPE6DHHVAMKG,56,JASTREBARSKO,10450,ZAGREBAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,777,2/5/2018/,2/5/2018/,F,,ZAPOSLEN,OSTALO,,60015,HR,JASTREBARSKO,10450,ZAGREBAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,PRIVATNO PODUZEĆE - VELIKO,,,,,,N,,NE
P4J98XUDCPOQ,46,BABINA GREDA,32270,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,226,6/9/2012/,6/9/2012/,F,,ZAPOSLEN,ZAPOSLENIK,,60015,HR,BABINA GREDA,32270,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
Z8JI6YXXINCK,51,DUGA RESA,47250,KARLOVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,252,26/1/2018/,26/1/2018/,M,,NEZAPOSLEN,OSTALO,,60015,HR,DUGA RESA,47250,KARLOVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
P32R21RBBY58,53,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,26/1/2018/,26/1/2018/,F,,NEZAPOSLEN,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,PODSTANAR,>5,,4.0,3.0,N,,NE
W7GLSN9NYYPJ,45,DRAMALJ,51260,PRIMORSKO-GORANSKA ŽUPANIJA,HRVATSKA,60000023 - NEREZIDENT PRAVNA ILI FIZIČKA OSOBA,256,7/2/2018/,7/2/2018/,F,,ZAPOSLEN,ZAPOSLENIK,,60023,HR,DRAMALJ,51260,PRIMORSKO-GORANSKA ŽUPANIJA,HRVATSKA,,HPB,N,B,,,,,,,,,,,N,Y,NE
GFSSAX0F8M0B,43,PRIVLAKA,23230,ZADARSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,214,14/2/2018/,14/2/2018/,M,,ZAPOSLEN,ZAPOSLENIK,,60015,HR,PRIVLAKA,23230,ZADARSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,Y,NE
YLOOOUYVF04Z,42,DUBROVNIK,20000,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,203,23/2/2018/,23/2/2018/,F,,ZAPOSLEN,OSOBA S POSEBNIM OVLAŠTENJIMA,VSS,60015,HR,DUBROVNIK,20000,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,>7,5-10,OSTALI ZAPOSLENICI,,,KOD RODITELJA,>5,,4.0,2.0,N,Y,NE
M7LGL146IVJD,56,SAMOBOR,10430,ZAGREBAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,20/4/2011/,20/4/2011/,F,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,,60015,HR,SAMOBOR,10430,ZAGREBAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,JAVNO PODUZEĆE,,,,,,N,,NE
YSQKL6KUT59H,54,SINJ,21230,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,SINJ,21230,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
H8JDYTI2NE8V,66,SOLIN,21210,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,SSS,60015,HR,SOLIN,21210,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,"DRŽAVNI SLUŽBENIK, ZAPOSLENICI U JAVNIM USTANOVAMA",,,VLASTITI STAN/KUĆA,>5,,3.0,2.0,N,Y,NE
Y5LRIKOWEF89,49,ZAPOLJE,35420,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,202,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAPOLJE,35420,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
0JQ85DG4G4TJ,79,JASENOVAC,44320,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,257,29/4/2006/,29/4/2006/,F,EMPLOYED,UMIROVLJENIK,OSTALO,,60015,HR,JASENOVAC,44320,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,OSTALO,,,,,,N,,NE
UN959S9XXBB3,71,VELIKA GORICA,10410,ZAGREBAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,209,25/10/2016/,25/10/2016/,F,EMPLOYED,UMIROVLJENIK,OSTALO,SSS,60015,HR,VELIKA GORICA,10410,ZAGREBAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,>7,>10,"UMIROVLJENICI, POMORCI, SLUŽB. POD. KOJA NISU POVEZANA S DRŽAVOM",,,VLASTITI STAN/KUĆA,>5,,2.0,1.0,N,N,NE
Q8R7KIQHR9M3,53,SAMOBOR,10430,ZAGREBAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,,60015,HR,SAMOBOR,10430,ZAGREBAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
7Z63I2FTSUXR,75,DARDA,31320,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,UMIROVLJENIK,OSTALO,,60015,HR,DARDA,31320,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,OSTALO,,,,,,N,,NE
DYTCRJCQRIGQ,65,IMOTSKI,21260,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,NEZAPOSLEN,OSTALO,SSS,60015,HR,IMOTSKI,21260,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
W7M8EGN2NG9S,64,PETRINJA,44250,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,209,24/3/1998/,24/3/1998/,M,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,VSS,60015,HR,PETRINJA,44250,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,PRIVATNO PODUZEĆE - VELIKO,,,,,,N,,NE
VPQQ68V46LJC,70,JABUKOVAC,44200,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,JABUKOVAC,44200,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
238JS3U37TBW,53,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,20/7/2006/,20/7/2006/,F,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,SSS,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,9.0,HPB,N,Y,>7,>10,OSTALI ZAPOSLENICI,,,VLASTITI STAN/KUĆA,>5,,4.0,1.0,N,Y,NE
J3VFA6K9NK2X,49,LESKOVAC,99990,,REPUBLIKA SRBIJA,60000023 - NEREZIDENT PRAVNA ILI FIZIČKA OSOBA,249,14/8/2020/,14/8/2020/,F,,ZAPOSLEN,ZAPOSLENIK,,60023,HR,KNIN,22300,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,,HPB,N,N,,,,,,,,,,,N,,NE
S7UY302YBUS6,57,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,20/8/2020/,20/8/2020/,F,,ZAPOSLEN,ZAPOSLENIK,VSS,60015,HR,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,>7,>10,OSTALI ZAPOSLENICI,,,,,,,,N,,NE
JI5U9LPESM6H,60,RIJEKA,51000,PRIMORSKO-GORANSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,777,6/4/2020/,6/4/2020/,M,,UMIROVLJENIK,OSTALO,,60015,HR,RIJEKA,51000,PRIMORSKO-GORANSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,OSTALO,,,,,,N,,NE
EFDU6M9UB3IV,78,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,218,14/5/2020/,14/5/2020/,M,,UMIROVLJENIK,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
3X1IN433M1AJ,30,BARTOLOVEC,42200,VARAŽDINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,215,28/5/2020/,28/5/2020/,F,,STUDENT                         ,OSTALO,SSS,60015,HR,BARTOLOVEC,42200,VARAŽDINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,KOD RODITELJA,>5,,,,N,N,NE
S9OG78E6N8S9,75,SLAVONSKI BROD,35000,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,202,22/7/2020/,22/7/2020/,M,,UMIROVLJENIK,OSTALO,,60015,HR,SLAVONSKI BROD,35000,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,"UMIROVLJENICI, POMORCI, SLUŽB. POD. KOJA NISU POVEZANA S DRŽAVOM",,,VLASTITI STAN/KUĆA,>5,,1.0,,N,N,NE
